    x             y
391     0.000436897
390.5   0.000493579
390     0.000468304
389.5   0.000354826
389     0.000335588
388.5   0.000316907
388     0.000200668
387.5   6.72092e-05
387    -5.41527e-05
386.5  -8.27419e-05
386     8.62251e-05
385.5   0.000193348
385     0.000133826
384.5   5.46307e-05
384    -3.93376e-05
383.5  -0.000196573
383    -0.000292189
382.5  -0.000285118
382    -0.000190793
381.5  -8.34608e-05
381    -7.13127e-05
380.5  -2.00476e-05
380     2.86839e-05
379.5  -3.75718e-05
379    -6.11734e-05
378.5  -3.63567e-05
378     0.000104932
377.5   0.000207074
377     0.00042098
376.5   0.000653461
376     0.000777834
375.5   0.00075483
375     0.000653924
374.5   0.000633372
374     0.000602127
373.5   0.000582397
373     0.000579763
372.5   0.000518111
372     0.000480966
371.5   0.000276916
371     0.000141339
370.5   3.74628e-06
370    -0.000189932
369.5  -0.000462281
369    -0.000628607
368.5  -0.00057331
368    -0.000481343
367.5  -0.000407092
367    -0.000438559
366.5  -0.000418104
366    -0.000337526
365.5  -0.000318155
365    -0.000177275
364.5  -7.69922e-06
364     9.44978e-05
363.5   0.000145763
363     0.000336739
362.5   0.000419321
362     0.000226158
361.5  -3.85888e-05
361    -0.000324668
360.5  -0.000494819
360    -0.000767728
359.5  -0.00109685
359    -0.00131775
358.5  -0.00153541
358    -0.00185097
357.5  -0.00211801
357    -0.00229109
356.5  -0.00250181
356    -0.00256126
355.5  -0.0023679
355    -0.00209876
354.5  -0.00179404
354    -0.00152445
353.5  -0.00120144
353    -0.000803256
352.5  -0.000475282
352    -0.000223972
351.5   3.2158e-05
351     0.000327185
350.5   0.000644615
350     0.000887872
349.5   0.00102044
349     0.000966783
348.5   0.000814479
348     0.000645552
347.5   0.000487575
347     0.000374164
346.5   0.000180025
346    -3.02742e-05
345.5  -0.000270371
345    -0.000506588
344.5  -0.000839094
344    -0.00123932
343.5  -0.00157115
343    -0.00183302
342.5  -0.00199901
342    -0.00210918
341.5  -0.00224469
341    -0.00236848
340.5  -0.00255657
340    -0.00278306
339.5  -0.0030164
339    -0.00311032
338.5  -0.00308094
338    -0.00296173
337.5  -0.00282066
337    -0.00271117
336.5  -0.00271386
336    -0.00275976
335.5  -0.00275204
335    -0.00261018
334.5  -0.00242536
334    -0.00211449
333.5  -0.00158761
333    -0.00096444
332.5  -0.000460261
332    -0.000177147
331.5   0.000118894
331     0.000413153
330.5   0.000745436
330     0.00109429
329.5   0.00144795
329     0.00175765
328.5   0.00182059
328     0.00167451
327.5   0.00136233
327     0.000759326
326.5  -2.7575e-05
326    -0.000772783
325.5  -0.00127701
325    -0.00187095
324.5  -0.00244887
324    -0.00299408
323.5  -0.00345597
323    -0.0039212
322.5  -0.00447855
322    -0.00488687
321.5  -0.00517274
321    -0.00547299
320.5  -0.00558774
320    -0.00552562
319.5  -0.00542763
319    -0.00544709
318.5  -0.00540958
318    -0.00542293
317.5  -0.00556209
317    -0.00563085
316.5  -0.00570467
316    -0.00575457
315.5  -0.00574375
315    -0.00565787
314.5  -0.00549855
314    -0.00548671
313.5  -0.00559268
313    -0.00571352
312.5  -0.00585001
312    -0.00607704
311.5  -0.00633494
311    -0.00659155
310.5  -0.00704943
310    -0.00746922
309.5  -0.00777693
309    -0.00820678
308.5  -0.00881274
308    -0.00949617
307.5  -0.0100501
307    -0.0105676
306.5  -0.01116
306    -0.0117451
305.5  -0.0122596
305    -0.0127455
304.5  -0.0132094
304    -0.0135344
303.5  -0.0139073
303    -0.0143631
302.5  -0.0147541
302    -0.0150076
301.5  -0.0151573
301    -0.0153377
300.5  -0.015497
300    -0.0156077
299.5  -0.0157345
299    -0.0158851
298.5  -0.016017
298    -0.016066
297.5  -0.016174
297    -0.0162708
296.5  -0.0164242
296    -0.0166491
295.5  -0.0169285
295    -0.0172772
294.5  -0.0176446
294    -0.0180476
293.5  -0.0185038
293    -0.0189525
292.5  -0.0193436
292    -0.019725
291.5  -0.0201633
291    -0.0206058
290.5  -0.0210439
290    -0.0214369
289.5  -0.0217957
289    -0.0220902
288.5  -0.0223525
288    -0.0226498
287.5  -0.0228626
287    -0.0229423
286.5  -0.0230325
286    -0.0232773
285.5  -0.02366
285    -0.0240576
284.5  -0.0244772
284    -0.0250309
283.5  -0.0256257
283    -0.0262816
282.5  -0.0270417
282    -0.0277952
281.5  -0.0284732
281    -0.0292234
280.5  -0.0301131
280    -0.03099
279.5  -0.0317827
279    -0.0323882
278.5  -0.0330403
278    -0.0336699
277.5  -0.0340221
277    -0.0342468
276.5  -0.0344317
276    -0.0345072
275.5  -0.0345456
275    -0.0345589
274.5  -0.0347322
274    -0.0348894
273.5  -0.0349637
273    -0.0349503
272.5  -0.0349079
272    -0.0346376
271.5  -0.0342636
271    -0.0340048
270.5  -0.0336883
270    -0.0331451
269.5  -0.032516
269    -0.0317771
268.5  -0.0309932
268    -0.0298698
267.5  -0.0285788
267    -0.0273338
266.5  -0.0259556
266    -0.0244639
265.5  -0.0230006
265    -0.0215153
264.5  -0.0201322
264    -0.0189561
263.5  -0.0178005
263    -0.0166144
262.5  -0.0154065
262    -0.0142463
261.5  -0.0131144
261    -0.0119521
260.5  -0.0106436
260    -0.00953975
259.5  -0.0086793
259    -0.00787073
258.5  -0.00708327
258    -0.00594903
257.5  -0.00442352
257    -0.00300497
256.5  -0.00176438
256    -0.000758784
255.5   0.00032476
255     0.00123609
254.5   0.00193637
254     0.00250089
253.5   0.00309109
253     0.00370019
252.5   0.00414006
252     0.00446297
251.5   0.00452561
251     0.00421892
250.5   0.00393638
250     0.00380177
249.5   0.00370868
249     0.00353493
248.5   0.00371576
248     0.00409878
247.5   0.00451576
247     0.00505371
246.5   0.00587258
246     0.0069428
245.5   0.00809483
245     0.00932092
244.5   0.0106838
244     0.0120153
243.5   0.0133224
243     0.0147471
242.5   0.016093
242     0.0169681
241.5   0.0176446
241     0.0183902
240.5   0.0190293
240     0.0190431
239.5   0.0186443
239     0.0181073
238.5   0.0172082
238     0.0158574
237.5   0.013948
237     0.0112338
236.5   0.00787446
236     0.00397589
235.5  -0.000370357
235    -0.00550557
234.5  -0.0118011
234    -0.0189612
233.5  -0.0265972
233    -0.0350875
232.5  -0.0450331
232    -0.0563578
231.5  -0.0684721
231    -0.0813752
230.5  -0.0947564
230    -0.108749
229.5  -0.123276
229    -0.138318
228.5  -0.15336
228    -0.168217
227.5  -0.182225
227    -0.195374
226.5  -0.2074
226    -0.217871
225.5  -0.226672
225    -0.234292
