  x-r-uv           y-r-uv    x-s-uv           y-s-uv    x-r-ecd       y-r-ecd    x-s-ecd        y-s-ecd
   219.8   9366.88            219.8   9084.97             219.8  -6.13649          219.8  -12.5757
   220     9154.45            220     8985.77             220    -6.08875          220    -12.4159
   220.2   8948.88            220.2   8893.31             220.2  -6.04157          220.2  -12.2327
   220.4   8749.97            220.4   8807.07             220.4  -5.99468          220.4  -12.026
   220.6   8557.5             220.6   8726.5              220.6  -5.9478           220.6  -11.7955
   220.8   8371.21            220.8   8651.02             220.8  -5.90069          220.8  -11.5413
   221     8190.84            221     8580.07             221    -5.8531           221    -11.2634
   221.2   8016.1             221.2   8513.07             221.2  -5.8048           221.2  -10.9621
   221.4   7846.71            221.4   8449.45             221.4  -5.75561          221.4  -10.6377
   221.6   7682.37            221.6   8388.67             221.6  -5.70535          221.6  -10.2908
   221.8   7522.8             221.8   8330.18             221.8  -5.65386          221.8   -9.92195
   222     7367.68            222     8273.45             222    -5.60104          222     -9.53208
   222.2   7216.74            222.2   8218                222.2  -5.54678          222.2   -9.12215
   222.4   7069.7             222.4   8163.37             222.4  -5.49102          222.4   -8.69328
   222.6   6926.28            222.6   8109.11             222.6  -5.43373          222.6   -8.24676
   222.8   6786.22            222.8   8054.82             222.8  -5.3749           222.8   -7.78404
   223     6649.28            223     8000.13             223    -5.31455          223     -7.3067
   223.2   6515.23            223.2   7944.72             223.2  -5.25273          223.2   -6.81647
   223.4   6383.85            223.4   7888.28             223.4  -5.18949          223.4   -6.31519
   223.6   6254.94            223.6   7830.56             223.6  -5.12494          223.6   -5.80484
   223.8   6128.31            223.8   7771.33             223.8  -5.0592           223.8   -5.28749
   224     6003.8             224     7710.4              224    -4.99238          224     -4.76531
   224.2   5881.27            224.2   7647.62             224.2  -4.92465          224.2   -4.24052
   224.4   5760.57            224.4   7582.86             224.4  -4.85616          224.4   -3.71544
   224.6   5641.58            224.6   7516.03             224.6  -4.78708          224.6   -3.19239
   224.8   5524.22            224.8   7447.08             224.8  -4.71759          224.8   -2.67375
   225     5408.39            225     7375.97             225    -4.64788          225     -2.16186
   225.2   5294.03            225.2   7302.68             225.2  -4.57814          225.2   -1.65908
   225.4   5181.07            225.4   7227.25             225.4  -4.50855          225.4   -1.1677
   225.6   5069.46            225.6   7149.69             225.6  -4.43928          225.6   -0.689987
   225.8   4959.19            225.8   7070.06             225.8  -4.37053          225.8   -0.228096
   226     4850.22            226     6988.43             226    -4.30245          226      0.215897
   226.2   4742.53            226.2   6904.89             226.2  -4.23521          226.2    0.640037
   226.4   4636.14            226.4   6819.53             226.4  -4.16895          226.4    1.0425
   226.6   4531.03            226.6   6732.45             226.6  -4.1038           226.6    1.42161
   226.8   4427.21            226.8   6643.76             226.8  -4.03987          226.8    1.77587
   227     4324.71            227     6553.59             227    -3.97726          227      2.10393
   227.2   4223.53            227.2   6462.04             227.2  -3.91606          227.2    2.40465
   227.4   4123.7             227.4   6369.25             227.4  -3.85632          227.4    2.6771
   227.6   4025.24            227.6   6275.32             227.6  -3.79808          227.6    2.92051
   227.8   3928.17            227.8   6180.39             227.8  -3.74137          227.8    3.13437
   228     3832.53            228     6084.58             228    -3.6862           228      3.31836
   228.2   3738.32            228.2   5987.99             228.2  -3.63254          228.2    3.47235
   228.4   3645.59            228.4   5890.74             228.4  -3.58036          228.4    3.59646
   228.6   3554.35            228.6   5792.95             228.6  -3.52961          228.6    3.69099
   228.8   3464.62            228.8   5694.7              228.8  -3.48023          228.8    3.75645
   229     3376.41            229     5596.1              229    -3.43213          229      3.79355
   229.2   3289.75            229.2   5497.23             229.2  -3.38522          229.2    3.80317
   229.4   3204.65            229.4   5398.19             229.4  -3.33939          229.4    3.78636
   229.6   3121.11            229.6   5299.05             229.6  -3.29452          229.6    3.74434
   229.8   3039.14            229.8   5199.88             229.8  -3.25047          229.8    3.67846
   230     2958.74            230     5100.74             230    -3.20712          230      3.5902
   230.2   2879.92            230.2   5001.71             230.2  -3.16433          230.2    3.48117
   230.4   2802.65            230.4   4902.83             230.4  -3.12193          230.4    3.35304
   230.6   2726.95            230.6   4804.16             230.6  -3.0798           230.6    3.20759
   230.8   2652.78            230.8   4705.74             230.8  -3.03777          230.8    3.04663
   231     2580.15            231     4607.61             231    -2.99569          231      2.87202
   231.2   2509.03            231.2   4509.82             231.2  -2.95342          231.2    2.68565
   231.4   2439.41            231.4   4412.39             231.4  -2.91082          231.4    2.48942
   231.6   2371.25            231.6   4315.37             231.6  -2.86775          231.6    2.28518
   231.8   2304.54            231.8   4218.77             231.8  -2.82406          231.8    2.07479
   232     2239.25            232     4122.64             232    -2.77964          232      1.86006
   232.2   2175.36            232.2   4027                232.2  -2.73437          232.2    1.64274
   232.4   2112.84            232.4   3931.88             232.4  -2.68813          232.4    1.42449
   232.6   2051.65            232.6   3837.32             232.6  -2.64084          232.6    1.20692
   232.8   1991.78            232.8   3743.33             232.8  -2.59239          232.8    0.991521
   233     1933.19            233     3649.95             233    -2.54272          233      0.779704
   233.2   1875.86            233.2   3557.22             233.2  -2.49175          233.2    0.572762
